scores,lat1,lat2,lon1,lon2
105.24737960319074,34.744,34.752,135.576,135.584
101.82126365032215,34.744,34.752,135.584,135.592
97.2356443459129,34.744,34.752,135.592,135.6
93.38284748003726,34.744,34.752,135.6,135.608
92.50161697727803,34.744,34.752,135.608,135.616
92.42360225129708,34.744,34.752,135.616,135.624
91.20668211380618,34.744,34.752,135.624,135.632
89.67440142360643,34.744,34.752,135.632,135.64
87.93204151875862,34.744,34.752,135.64,135.648
86.71040346486323,34.744,34.752,135.648,135.656
85.23348314606741,34.744,34.752,135.656,135.664
83.66712689646417,34.744,34.752,135.664,135.672
82.37408947477071,34.744,34.752,135.672,135.68
80.51364365971108,34.744,34.752,135.68,135.688
79.00710069996053,34.744,34.752,135.688,135.696
75.56481683214541,34.744,34.752,135.696,135.704
71.25002105688729,34.744,34.752,135.704,135.712
65.74378589774238,34.744,34.752,135.712,135.72
61.381665454153534,34.744,34.752,135.72,135.728
56.83970037453184,34.744,34.752,135.728,135.736
51.68742162184909,34.744,34.752,135.736,135.744
47.63865861760203,34.744,34.752,135.744,135.752
47.20438897485927,34.744,34.752,135.752,135.76
48.0674561474416,34.744,34.752,135.76,135.768
43.680623435951695,34.744,34.752,135.768,135.776
41.42936598712687,34.744,34.752,135.776,135.784
41.14228865703585,34.744,34.752,135.784,135.792
34.694823434991974,34.744,34.752,135.792,135.8
119.51652929824878,34.736,34.744,135.4,135.408
121.13806942235448,34.736,34.744,135.408,135.416
119.66467459154318,34.736,34.744,135.416,135.424
120.41483021913216,34.736,34.744,135.424,135.432
119.1691280879086,34.736,34.744,135.432,135.44
117.16930164727718,34.736,34.744,135.44,135.448
116.73724591833025,34.736,34.744,135.448,135.456
116.24380800223497,34.736,34.744,135.456,135.464
115.99004611239317,34.736,34.744,135.464,135.472
113.31995141208624,34.736,34.744,135.472,135.48
112.93183755170338,34.736,34.744,135.48,135.488
113.78980533405823,34.736,34.744,135.488,135.496
114.2572321183886,34.736,34.744,135.496,135.504
114.66679752292637,34.736,34.744,135.504,135.512
115.21375066880685,34.736,34.744,135.512,135.52
114.94850353576679,34.736,34.744,135.52,135.528
114.69247026204303,34.736,34.744,135.528,135.536
115.54669090292624,34.736,34.744,135.536,135.544
115.72299918739422,34.736,34.744,135.544,135.552
114.8014000356697,34.736,34.744,135.552,135.56
113.12212113048945,34.736,34.744,135.56,135.568
109.09799638168943,34.736,34.744,135.568,135.576
105.45328816920026,34.736,34.744,135.576,135.584
101.97820783561438,34.736,34.744,135.584,135.592
99.71343984000377,34.736,34.744,135.592,135.6
98.11814752452806,34.736,34.744,135.6,135.608
99.26177611818684,34.736,34.744,135.608,135.616
98.84335066679571,34.736,34.744,135.616,135.624
98.13248067575105,34.736,34.744,135.624,135.632
96.15539859052684,34.736,34.744,135.632,135.64
95.32556626449161,34.736,34.744,135.64,135.648
93.00666347160836,34.736,34.744,135.648,135.656
91.71568913857678,34.736,34.744,135.656,135.664
90.6096418142576,34.736,34.744,135.664,135.672
89.4101902992463,34.736,34.744,135.672,135.68
87.24266335747782,34.736,34.744,135.68,135.688
85.25698757016454,34.736,34.744,135.688,135.696
83.13927189351261,34.736,34.744,135.696,135.704
80.10210063507571,34.736,34.744,135.704,135.712
76.17715784892452,34.736,34.744,135.712,135.72
72.49529814350767,34.736,34.744,135.72,135.728
68.86099625468165,34.736,34.744,135.728,135.736
64.99202120944325,34.736,34.744,135.736,135.744
62.46479497029741,34.736,34.744,135.744,135.752
61.899022180358386,34.736,34.744,135.752,135.76
64.50501172096031,34.736,34.744,135.76,135.768
66.6253841890462,34.736,34.744,135.768,135.776
67.18340846397093,34.736,34.744,135.776,135.784
67.95157838416266,34.736,34.744,135.784,135.792
61.53925896201177,34.736,34.744,135.792,135.8
111.20600829019905,34.728,34.736,135.4,135.408
113.39947886857246,34.728,34.736,135.408,135.416
113.62410273422664,34.728,34.736,135.416,135.424
113.09534668380391,34.728,34.736,135.424,135.432
113.10123427276189,34.728,34.736,135.432,135.44
110.78257575757576,34.728,34.736,135.44,135.448
107.70074373079653,34.728,34.736,135.448,135.456
104.38664578463826,34.728,34.736,135.456,135.464
105.44059084307881,34.728,34.736,135.464,135.472
106.88341865567449,34.728,34.736,135.472,135.48
107.80190234985638,34.728,34.736,135.48,135.488
108.99468864659231,34.728,34.736,135.488,135.496
112.38274867367316,34.728,34.736,135.496,135.504
112.85316264077568,34.728,34.736,135.504,135.512
113.65430806749818,34.728,34.736,135.512,135.52
113.99107288728595,34.728,34.736,135.52,135.528
112.96475559396907,34.728,34.736,135.528,135.536
112.38816047023903,34.728,34.736,135.536,135.544
110.3356346392105,34.728,34.736,135.544,135.552
106.0053944800282,34.728,34.736,135.552,135.56
102.3689301181049,34.728,34.736,135.56,135.568
99.38248005670877,34.728,34.736,135.568,135.576
97.26912270634791,34.728,34.736,135.576,135.584
97.24609746919519,34.728,34.736,135.584,135.592
96.65657713177089,34.728,34.736,135.592,135.6
96.35031948536951,34.728,34.736,135.6,135.608
95.69365656020747,34.728,34.736,135.608,135.616
94.87384406922827,34.728,34.736,135.616,135.624
